catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Cameroon,Member of the Senate of Cameroon,Koungou Edima Eliane Didier,Q111416796,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Kumbongsi Dyx Meten Alim,Q111416798,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Leke Besongoh Akemfor Philip,Q111416800,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Lekunze Membo Andreas,Q111416801,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Mahamat Abdoul Karim,Q111416802,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Mamoudou Mazadou,Q111416804,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Mbida Mvodo Albert,Q111416805,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Minyem Endene Epouse Eboumbou Patience Félicité,Q111416806,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Nana Ismaila,Q111416808,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Ngabaya Tchef Tchef,Q111416809,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Ngangoube Aminatou,Q111416810,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Ngoubeyou François Xavier,Q111416811,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Ngouchinghe Sylvestre,Q111416813,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Niat Njifenji Marcel,Q111416815,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Oumarou Issa,Q111416816,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Papianatu Fonderson Lionel,Q111416818,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Pokam Max,Q111416819,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Rougayatou Asta Djoulde,Q111416820,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Elizabeth Regina Mundi,Q111416821,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Teingnidetio Jean,Q111416823,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Vanigansen Mochiggle,Q111416824,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Zakiatou Epse Sale,Q111416825,2018-03-25,,,,,,
Cameroon,Member of the Senate of Cameroon,Ibrahim Mbombo Njoya,Q15819842,2018-03-25,2021-09-27,male,1937-10-27,2021-09-27,KdfsultanNjoya.JPG,Ibrahim Mbombo Njoya
Cameroon,Member of the Senate of Cameroon,Luc Réné Bell,Q24951660,2018-03-25,,male,1948-01-29,,,
Cameroon,Member of the Senate of Cameroon,Victor Mukete,Q27755043,2018-03-25,2021-04-10,male,1918-11-15,2021-04-10,,Victor Mukete
Cameroon,Member of the Senate of Cameroon,Amadou Ali,Q2840847,2018-03-25,,male,1943,,Amadou ali.jpg,Amadou Ali
Cameroon,Member of the Senate of Cameroon,Geneviève Tjoues,Q39145253,2018-03-25,,female,1944-01-31,,GenevieveTjoues2.jpg,Geneviève Tjoues
Cameroon,Member of the Senate of Cameroon,Nicole Okala Bilaï,Q41672851,2018-03-25,,female,1949-05-26,,NicoleOkala 2012.jpg,Nicole Okala Bilaï
Cameroon,Member of the Senate of Cameroon,Monique Ouli Ndongo,Q43457076,2018-03-25,,female,1958,,,
Cameroon,Member of the Senate of Cameroon,Thérèse Eloumba Medjo,Q43459010,2018-03-25,,female,1956-02-06,,,
Cameroon,Member of the Senate of Cameroon,Marlyse Aboui,Q43460532,2018-03-25,,female,1973,,,
Cameroon,Member of the Senate of Cameroon,Dakolé Daïssala,Q5209975,2018-03-25,,male,1943-04-15,,,Dakolé Daïssala
Cameroon,Member of the Senate of Cameroon,Essomba Tsoungui Elie Victor,Q5399952,2018-03-25,,male,,,,Essomba Tsoungui Elie Victor
Cameroon,Member of the Senate of Cameroon,Aboubakary Abdoulaye,Q95725544,2018-03-25,,male,,,,
Cameroon,Member of the National Assembly of Cameroon,Bonaventure Mvondo Assam,Q105971259,1997-05-18,2002-06-29,male,,,,
Cameroon,Member of the National Assembly of Cameroon,Ali Adjit,Q111340975,1997-05-18,2002-06-29,male,,,,
Cameroon,Member of the National Assembly of Cameroon,Théophile Baoro,Q111340986,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Benae Serge Gabriel,Q111340991,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Etong Hilarion,Q111341022,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Gonondo Jean,Q111341032,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Haman Tchiouto,Q111341035,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Harouna Nyako,Q111341037,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Koa Songo,Q111341044,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Kwemo Pierre,Q111341050,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Zondol Herssesse,Q111341383,1997-05-18,2002-06-29,male,,,,
Cameroon,Member of the National Assembly of Cameroon,Amadou Mohaman,Q111342347,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Awudu Mbaya Cyprian,Q111342348,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Banlog Polycarpe,Q111342350,1997-05-18,2002-06-29,male,,,,
Cameroon,Member of the National Assembly of Cameroon,Danata Paul,Q111342498,1997-05-18,2002-06-29,male,,,,
Cameroon,Member of the National Assembly of Cameroon,Mbiam Emmanuel,Q111342547,1997-05-18,2002-06-29,male,,,,
Cameroon,Member of the National Assembly of Cameroon,Thomas Tobbo Eyoum,Q111355907,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Abakar Mahamat,Q111364142,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Abdoulaye Bougue,Q111364156,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Adama Modi,Q111364159,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Adjibolo Philémon,Q111364162,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Asu Georges Mbanda,Q111364169,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Bassa Botiba Florence Eugénie,Q111364173,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Djamara Loursantou,Q111364181,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Fonso Peter Choo,Q111364197,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Kerbai Laoukoura Jean Marie,Q111364208,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Nzuobontane Andrew Ngabe,Q111364257,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Aka Amuam Joseph,Q111364924,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Amougou Noma Nicolas,Q111364929,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Andze Andze Emile,Q111364931,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Blama Malla,Q111364940,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Bouba Samali Bernard,Q111364943,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Bungong Jinka Jonathan,Q111364944,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Chemo Sama Eyikeshi,Q111364947,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Fetekoue Made,Q111364963,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Fon Doh Gah Gwanyin Iii,Q111364964,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Hamidou,Q111364971,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Jua Paulinus Toh,Q111364972,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Nnemde Emmanuel,Q111365012,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Nyassa Louis Claude,Q111365017,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Ousmanou Toumba,Q111365023,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Patehale Jean Claude,Q111365025,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Sakatai Claude,Q111365026,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Sale Charles,Q111365027,1997-05-18,2002-06-29,,,,,
Cameroon,Member of the National Assembly of Cameroon,Tasi Ntang Lucas,Q111365134,1997-05-18,2002-06-29,,,,,
