catalog,position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Afghanistan,Minister of the Interior,Wais Barmak,Q30688166,2017-08-13,2018-12-23,male,1972,,,Wais Barmak
Afghanistan,Minister of the Interior,Amrullah Saleh,Q477828,2018-12-23,2019-01-19,male,1972-10-15,,Amrullah Saleh (5).jpg,Amrullah Saleh
Afghanistan,Minister of the Interior,Abdul Sattar Mirzakwal,Q108104361,2021-06-19,2021-08-15,male,1960,,,Abdul Sattar Mirzakwal
Afghanistan,Minister of the Interior,Ibrahim Sadr,Q108301306,2021-08-24,2021-09-07,male,,,,Ibrahim Sadr
Afghanistan,Minister of the Interior,Sirajuddin Haqqani,Q2246940,2021-09-07,,male,1970,,Sirajuddin Haqqani.png,Sirajuddin Haqqani
Afghanistan,Minister of Justice,Sarwar Danish,Q7424823,2004-12-23,2010-01-01,male,1961,,Sarwar Danish in 2011-cropped.jpg,Sarwar Danish
Afghanistan,Minister for Refugees,Abdul Karim Brahui,Q4665467,2009-02,2010-08-24,male,1955,,Abdul Karim Brahui of Afghanistan in July 2011.jpg,Abdul Karim Brahui
Afghanistan,Minister of Transport and Civil Aviation,Akhtar Mansour,Q2829007,1996-09,2001-12,male,1968,2016-05-21,,Akhtar Mansour
Afghanistan,Minister of Water and Energy,Ismail Khan,Q283648,2004,2013-10,male,1946,,Ismail Khan in December 2010-cropped.jpg,Ismail Khan
Afghanistan,Minister of Water and Energy,Mohammad Arif Noorzai,Q6891822,2013-10-28,2014-11,male,1959,,"The Minister of State (Independent Charge) for Power, Coal and New and Renewable Energy, Shri Piyush Goyal in a bilateral meeting with the Minister of Energy and Water, Afghanistan, Mr. Mohammad Arif Noorzai, in New Delhi.jpg",Mohammad Arif Noorzai
Afghanistan,Speaker of the House of Elders,Sibghatullah Mojaddedi,Q380474,2005-12,2011-01-29,male,1926-04-21,2019-02-11,Mojaddedi in September 2014.jpg,Sibghatullah Mojaddedi
Afghanistan,Speaker of the House of the People,Yunus Qanuni,Q134069,2005-12-07,2010-12-06,male,1957-05-10,,Mohammad Younis Qanooni Senate of Poland.JPG,Yunus Qanuni
